subject_id,grb_id,image_path,image_source,label,label_id,verified_label,verified_label_id,model_guess,model_confidence,is_agreement,timestamp
95225861,GRB111228A,data\zooniverse\images\95225861.png,data\zooniverse\images\95225861.png,pulse,0,pulse,0,pulse,0.4075,True,2026-09-18 21:18:57
95225862,GRB150711A,data\zooniverse\images\95225862.png,data\zooniverse\images\95225862.png,pulse,0,pulse,0,pulse,0.4126,True,2026-09-18 21:18:59
95225863,GRB151210A,data\zooniverse\images\95225863.png,data\zooniverse\images\95225863.png,unclear,2,unclear,2,unclear,0.4678,True,2026-09-18 21:19:27
95225864,GRB170126A,data\zooniverse\images\95225864.png,data\zooniverse\images\95225864.png,pulse,0,pulse,0,pulse,0.6563,True,2026-09-18 21:20:20
95225865,GRB181126A,data\zooniverse\images\95225865.png,data\zooniverse\images\95225865.png,pulse,0,pulse,0,pulse,0.6861,True,2026-09-18 21:20:21
95225866,GRB190106A,data\zooniverse\images\95225866.png,data\zooniverse\images\95225866.png,pulse,0,pulse,0,pulse,0.4361,True,2026-09-18 21:20:23
95225867,GRB190110A,data\zooniverse\images\95225867.png,data\zooniverse\images\95225867.png,noise,1,noise,1,pulse,0.4049,False,2026-09-18 21:20:27
95225868,GRB190114B,data\zooniverse\images\95225868.png,data\zooniverse\images\95225868.png,pulse,0,pulse,0,pulse,0.3979,True,2026-09-18 21:33:06
95225869,GRB190123A,data\zooniverse\images\95225869.png,data\zooniverse\images\95225869.png,pulse,0,pulse,0,unclear,0.417,False,2026-09-18 21:40:56
95225870,GRB190324A,data\zooniverse\images\95225870.png,data\zooniverse\images\95225870.png,pulse,0,pulse,0,unclear,0.4472,False,2026-09-18 21:40:57
95225871,GRB190611A,data\zooniverse\images\95225871.png,data\zooniverse\images\95225871.png,unclear,2,unclear,2,unclear,0.4412,True,2026-09-18 21:41:10
95225872,GRB190719C,data\zooniverse\images\95225872.png,data\zooniverse\images\95225872.png,pulse,0,pulse,0,unclear,0.4387,False,2026-09-18 21:41:14
95225873,GRB190824A,data\zooniverse\images\95225873.png,data\zooniverse\images\95225873.png,pulse,0,pulse,0,unclear,0.4773,False,2026-09-18 21:41:14
95225874,GRB190829A,data\zooniverse\images\95225874.png,data\zooniverse\images\95225874.png,unclear,2,unclear,2,unclear,0.4416,True,2026-09-18 21:41:16
95225875,GRB200131A,data\zooniverse\images\95225875.png,data\zooniverse\images\95225875.png,pulse,0,pulse,0,unclear,0.4396,False,2026-09-18 21:41:19
95225876,GRB200216B,data\zooniverse\images\95225876.png,data\zooniverse\images\95225876.png,noise,1,noise,1,unclear,0.5242,False,2026-09-18 21:41:20
95225877,GRB200224A,data\zooniverse\images\95225877.png,data\zooniverse\images\95225877.png,noise,1,noise,1,unclear,0.4929,False,2026-09-18 21:41:21
95225878,GRB200425A,data\zooniverse\images\95225878.png,data\zooniverse\images\95225878.png,noise,1,noise,1,unclear,0.4343,False,2026-09-18 21:41:33
95225879,GRB200512A,data\zooniverse\images\95225879.png,data\zooniverse\images\95225879.png,noise,1,noise,1,unclear,0.4441,False,2026-09-18 21:41:37
mock_100000,GRB120000A,data\mock_burst_chaser\images\mock_100000.png,data\mock_burst_chaser\images\mock_100000.png,noise,1,noise,1,unclear,0.5098,False,2026-09-18 21:41:54
mock_100001,GRB120001B,data\mock_burst_chaser\images\mock_100001.png,data\mock_burst_chaser\images\mock_100001.png,pulse,0,pulse,0,unclear,0.4422,False,2026-09-18 21:41:56
mock_100002,GRB120002C,data\mock_burst_chaser\images\mock_100002.png,data\mock_burst_chaser\images\mock_100002.png,pulse,0,pulse,0,unclear,0.4783,False,2026-09-18 21:41:57
mock_100003,GRB120003D,data\mock_burst_chaser\images\mock_100003.png,data\mock_burst_chaser\images\mock_100003.png,pulse,0,pulse,0,unclear,0.5055,False,2026-09-18 21:41:59
mock_100004,GRB120004A,data\mock_burst_chaser\images\mock_100004.png,data\mock_burst_chaser\images\mock_100004.png,pulse,0,pulse,0,unclear,0.544,False,2026-09-18 21:42:00
mock_100005,GRB120005B,data\mock_burst_chaser\images\mock_100005.png,data\mock_burst_chaser\images\mock_100005.png,pulse,0,pulse,0,unclear,0.4849,False,2026-09-18 21:42:01
mock_100006,GRB120006C,data\mock_burst_chaser\images\mock_100006.png,data\mock_burst_chaser\images\mock_100006.png,noise,1,noise,1,unclear,0.5388,False,2026-09-18 21:42:02
mock_100007,GRB120007D,data\mock_burst_chaser\images\mock_100007.png,data\mock_burst_chaser\images\mock_100007.png,pulse,0,pulse,0,unclear,0.3988,False,2026-09-18 21:42:03
mock_100008,GRB120008A,data\mock_burst_chaser\images\mock_100008.png,data\mock_burst_chaser\images\mock_100008.png,noise,1,noise,1,unclear,0.509,False,2026-09-18 21:42:04
mock_100009,GRB120009B,data\mock_burst_chaser\images\mock_100009.png,data\mock_burst_chaser\images\mock_100009.png,noise,1,noise,1,unclear,0.4937,False,2026-09-18 21:42:04
mock_100010,GRB120010C,data\mock_burst_chaser\images\mock_100010.png,data\mock_burst_chaser\images\mock_100010.png,noise,1,noise,1,unclear,0.5243,False,2026-09-18 21:42:05
mock_100011,GRB120011D,data\mock_burst_chaser\images\mock_100011.png,data\mock_burst_chaser\images\mock_100011.png,pulse,0,pulse,0,unclear,0.4774,False,2026-09-18 21:42:06
mock_100012,GRB120012A,data\mock_burst_chaser\images\mock_100012.png,data\mock_burst_chaser\images\mock_100012.png,pulse,0,pulse,0,unclear,0.3713,False,2026-09-18 21:42:07
mock_100013,GRB120013B,data\mock_burst_chaser\images\mock_100013.png,data\mock_burst_chaser\images\mock_100013.png,pulse,0,pulse,0,unclear,0.4063,False,2026-09-18 21:42:07
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,pulse,0,pulse,0,unclear,0.4111,False,2026-09-18 21:42:08
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,pulse,0,pulse,0,unclear,0.4111,False,2026-09-18 21:42:31
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,noise,1,noise,1,unclear,0.4111,False,2026-09-18 21:42:31
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,unclear,2,unclear,2,unclear,0.4111,True,2026-09-18 21:42:31
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,noise,1,noise,1,unclear,0.4111,False,2026-09-18 21:42:31
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,pulse,0,pulse,0,unclear,0.4111,False,2026-09-18 21:42:36
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,unclear,2,unclear,2,unclear,0.4111,True,2026-09-18 21:42:36
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,noise,1,noise,1,unclear,0.4111,False,2026-09-18 21:42:36
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,pulse,0,pulse,0,unclear,0.4111,False,2026-09-18 21:42:37
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,unclear,2,unclear,2,unclear,0.4111,True,2026-09-18 21:42:37
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,pulse,0,pulse,0,unclear,0.4111,False,2026-09-18 21:42:37
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,unclear,2,unclear,2,unclear,0.4111,True,2026-09-18 21:42:38
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,pulse,0,pulse,0,unclear,0.4111,False,2026-09-18 21:42:38
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,unclear,2,unclear,2,unclear,0.4111,True,2026-09-18 21:42:38
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,pulse,0,pulse,0,unclear,0.4111,False,2026-09-18 21:42:38
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,unclear,2,unclear,2,unclear,0.4111,True,2026-09-18 21:42:38
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,pulse,0,pulse,0,unclear,0.4111,False,2026-09-18 21:42:38
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,unclear,2,unclear,2,unclear,0.4111,True,2026-09-18 21:42:39
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,noise,1,noise,1,unclear,0.4111,False,2026-09-18 21:42:42
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,pulse,0,pulse,0,unclear,0.4111,False,2026-09-18 21:42:42
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,noise,1,noise,1,unclear,0.4111,False,2026-09-18 21:42:43
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,unclear,2,unclear,2,unclear,0.4111,True,2026-09-18 21:42:43
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,noise,1,noise,1,unclear,0.4111,False,2026-09-18 21:42:43
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,pulse,0,pulse,0,unclear,0.4111,False,2026-09-18 21:42:43
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,unclear,2,unclear,2,unclear,0.4111,True,2026-09-18 21:42:44
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,pulse,0,pulse,0,unclear,0.4111,False,2026-09-18 21:42:44
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,noise,1,noise,1,unclear,0.4111,False,2026-09-18 21:42:44
